part_id,value,symbol,footprint,description,mfg,mpn,lcsc,rating,package
CAP-022,47n,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,47nF ±10% 50V Ceramic Capacitor X7R 0402,Samsung Electro-Mechanics,CL05B473KB5VPNC,C307339,50V 10%,0402
CAP-023,47n,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,47nF ±10% 50V Ceramic Capacitor X7R 0603,Samsung Electro-Mechanics,CL10B473KB8NNNC,C1622,50V 10%,0603
CAP-024,100n,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,100nF ±10% 50V Ceramic Capacitor X7R 0402,Samsung Electro-Mechanics,CL05B104KB54PNC,C307331,50V 10%,0402
CAP-025,100n,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,100nF ±10% 50V Ceramic Capacitor X7R 0603,Samsung Electro-Mechanics,CL10B104KB8NNNC,C1591,50V 10%,0603
CAP-026,220n,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,220nF ±10% 50V Ceramic Capacitor X5R 0402,muRata,GRM155R61H224KE01D,C5159775,50V 10%,0402
CAP-027,220n,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,220nF ±10% 50V Ceramic Capacitor X7R 0603,Samsung Electro-Mechanics,CL10B224KB8NNNC,C64705,50V 10%,0603
CAP-028,1u,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,1uF ±10% 25V Ceramic Capacitor X5R 0402,Samsung Electro-Mechanics,CL05A105KA5NQNC,C52923,25V 10%,0402
CAP-029,1u,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,1uF ±10% 50V Ceramic Capacitor X5R 0603,Samsung Electro-Mechanics,CL10A105KB8NNNC,C15849,50V 10%,0603
CAP-030,1u,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,1uF ±10% 35V Ceramic Capacitor X5R 0402,Samsung Electro-Mechanics,CL05A105KL5NRNC,C307413,35V 10%,0402
CAP-031,2u2,INO_Symbols:C,INO_Footprints:C_0402_1005Metric,2.2uF ±10% 25V Ceramic Capacitor X5R 0402,Samsung Electro-Mechanics,CL05A225KA5NUNC,C307418,25V 10%,0402
CAP-032,2u2,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,2.2uF ±10% 50V Ceramic Capacitor X5R 0603,muRata,GRM188R61H225KE11D,C162273,50V 10%,0603
CAP-033,4u7,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,4.7uF ±10% 25V Ceramic Capacitor X5R 0603,Samsung Electro-Mechanics,CL10A475KA8NQNC,C69335,25V 10%,0603
CAP-034,4u7,INO_Symbols:C,INO_Footprints:C_0805_2012Metric,4.7uF ±10% 50V Ceramic Capacitor X5R 0805,Samsung Electro-Mechanics,CL21A475KBQNNNE,C98192,50V 10%,0805
CAP-035,10u,INO_Symbols:C,INO_Footprints:C_0603_1608Metric,10uF ±10% 25V Ceramic Capacitor X5R 0603,muRata,GRM188R61E106KA73D,C344022,25V 10%,0603
CAP-036,10u,INO_Symbols:C,INO_Footprints:C_0805_2012Metric,10uF ±10% 50V Ceramic Capacitor X5R 0805,muRata,GRM21BR61H106KE43L,C440198,50V 10%,0805
CAP-037,22u,INO_Symbols:C,INO_Footprints:C_0805_2012Metric,22uF ±20% 25V Ceramic Capacitor X5R 0805,Samsung Electro-Mechanics,CL21A226MAQNNNE,C45783,25V 20%,0805
CAP-038,22u,INO_Symbols:C,INO_Footprints:C_1206_3216Metric,22uF ±10% 25V Ceramic Capacitor X5R 1206,muRata,GRM31CR61E226KE15L,C77091,25V 10%,1206
CAP-039,47u,INO_Symbols:C_Polarized,INO_Footprints:CP_Elec_6.3x5.8,47uF ±20% 35V Aluminum Electrolytic Capacitors 2000hrs@105℃,PANASONIC,EEEFP1V470AP,C401754,35V 20%,"SMD,D6.3xL5.8mm"
CAP-040,100u,INO_Symbols:C_Polarized,INO_Footprints:CP_Elec_6.3x5.8,100uF ±20% 35V Aluminum Electrolytic Capacitors 2000hrs@105℃,Rubycon,35TZV100M6.3X8,C88744,35V 20%,"SMD,D6.3xL8mm"
CAP-041,100u,INO_Symbols:C_Polarized,INO_Footprints:CP_Elec_5x5.7,100uF ±20% 16V Aluminum Electrolytic Capacitors 3000hrs@105℃,HRK,GVM1C107M0506CNVC,C2983400,16V 20%,"SMD,D5xL5.7mm"
CAP-042,220u,INO_Symbols:C_Polarized,INO_Footprints:CP_Elec_6.3x5.8,220uF ±20% 16V Aluminum Electrolytic Capacitors 2000hrs@105℃,PANASONIC,EEEFT1C221AP,C178588,16V 20%,"SMD,D6.3xL5.8mm"
CAP-043,220u,INO_Symbols:C_Polarized,INO_Footprints:CP_Elec_6.3x7.7,220uF ±20% 25V Aluminum Electrolytic Capacitors 2000hrs@105℃,PANASONIC,EEEFTE221XAP,C190724,25V 20%,"SMD,D6.3xL7.7mm"
CAP-044,220u,INO_Symbols:C_Polarized,INO_Footprints:CP_Elec_8x10.5,220uF ±20% 35V Aluminum Electrolytic Capacitors 2000hrs@105℃,HRK,GVZ1V227M0810CNVC,C2983389,35V 20%,"SMD,D8xL10.5mm"
CAP-045,330u,INO_Symbols:C_Polarized,INO_Footprints:CP_Elec_6.3x7.7,330uF ±20% 16V Aluminum Electrolytic Capacitors 2000hrs@105℃,PANASONIC,EEEFTC331XAP,C413522,16V 20%,"SMD,D6.3xL7.7mm"
CAP-046,470u,INO_Symbols:C_Polarized,INO_Footprints:CP_Elec_6.3x7.7,470uF ±20% 16V Aluminum Electrolytic Capacitors 2000hrs@105℃,JIERR,JVJ16V470M6x8,C46550400,16V 20%,"SMD,D6.3xL7.7mm"
